app_id,status,reason,approved,rate
500001,Rejected,Policy Review,0,0.0
500002,Rejected,High Risk,0,0.0
500003,Rejected,High Risk,0,0.0
500004,Rejected,High Risk,0,0.0
500005,Rejected,Policy Review,0,0.0
500006,Rejected,High Risk,0,0.0
500007,Rejected,High Risk,0,0.0
500008,Manual Review,High Risk,0,0.0
500009,Rejected,High Risk,0,0.0
500010,Rejected,High Risk,0,0.0
500011,Rejected,High Risk,0,0.0
500012,Rejected,High Risk,0,0.0
500013,Rejected,Low Credit Score,0,0.0
500014,Rejected,Policy Review,0,0.0
500015,Rejected,Verification Failed,0,0.0
500016,Rejected,Verification Failed,0,0.0
500017,Rejected,High Risk,0,0.0
500018,Rejected,High Risk,0,0.0
500019,Manual Review,High Risk,0,0.0
500020,Manual Review,Verification Failed,0,0.0
500021,Rejected,Policy Review,0,0.0
500022,Rejected,Verification Failed,0,0.0
500023,Rejected,High Risk,0,0.0
500024,Rejected,Policy Review,0,0.0
500025,Rejected,High Risk,0,0.0
500026,Rejected,High Risk,0,0.0
500027,Approved,Meets Policy,175000,18.12
500028,Rejected,High Risk,0,0.0
500029,Rejected,Policy Review,0,0.0
500030,Rejected,High Risk,0,0.0
500031,Rejected,High Risk,0,0.0
500032,Manual Review,Low Credit Score,0,0.0
500033,Rejected,High Risk,0,0.0
500034,Approved,Meets Policy,1497000,16.51
500035,Approved,Meets Policy,3702000,13.59
500036,Rejected,Policy Review,0,0.0
500037,Approved,Meets Policy,1575000,12.4
500038,Rejected,Policy Review,0,0.0
500039,Rejected,High Risk,0,0.0
500040,Rejected,Policy Review,0,0.0
500041,Rejected,High Risk,0,0.0
500042,Rejected,High Risk,0,0.0
500043,Rejected,Verification Failed,0,0.0
500044,Rejected,Low Credit Score,0,0.0
500045,Manual Review,High Risk,0,0.0
500046,Rejected,High Risk,0,0.0
500047,Approved,Meets Policy,214000,16.74
500048,Rejected,High Risk,0,0.0
500049,Rejected,High Risk,0,0.0
500050,Rejected,High Risk,0,0.0
500051,Rejected,High Risk,0,0.0
500052,Rejected,High Risk,0,0.0
500053,Approved,Meets Policy,3575000,9.1
500054,Rejected,Low Credit Score,0,0.0
500055,Rejected,Verification Failed,0,0.0
500056,Rejected,High Risk,0,0.0
500057,Rejected,High Risk,0,0.0
500058,Rejected,Low Income,0,0.0
500059,Rejected,High Risk,0,0.0
500060,Manual Review,Policy Review,0,0.0
500061,Rejected,High Risk,0,0.0
500062,Rejected,High Risk,0,0.0
500063,Rejected,High Risk,0,0.0
500064,Rejected,Verification Failed,0,0.0
500065,Rejected,High Risk,0,0.0
500066,Rejected,High Risk,0,0.0
500067,Approved,Meets Policy,562000,14.41
500068,Rejected,Low Income,0,0.0
500069,Rejected,High Risk,0,0.0
500070,Rejected,High Risk,0,0.0
500071,Rejected,High Risk,0,0.0
500072,Approved,Meets Policy,1722000,17.43
500073,Approved,Meets Policy,555000,10.01
500074,Rejected,High Risk,0,0.0
500075,Approved,Meets Policy,2626000,13.33
500076,Rejected,High Risk,0,0.0
500077,Rejected,Low Credit Score,0,0.0
500078,Manual Review,High Risk,0,0.0
500079,Approved,Meets Policy,1928000,8.93
500080,Rejected,High Risk,0,0.0
500081,Approved,Meets Policy,453000,16.04
500082,Rejected,Verification Failed,0,0.0
500083,Rejected,Low Credit Score,0,0.0
500084,Rejected,High Risk,0,0.0
500085,Rejected,High Risk,0,0.0
500086,Rejected,Policy Review,0,0.0
500087,Rejected,High Risk,0,0.0
500088,Rejected,Policy Review,0,0.0
500089,Approved,Meets Policy,424000,15.56
500090,Approved,Meets Policy,68000,16.53
500091,Rejected,High Risk,0,0.0
500092,Approved,Meets Policy,99000,15.12
500093,Rejected,Low Income,0,0.0
500094,Approved,Meets Policy,4490000,13.27
500095,Rejected,Verification Failed,0,0.0
500096,Rejected,Low Credit Score,0,0.0
500097,Rejected,Low Credit Score,0,0.0
500098,Rejected,High Risk,0,0.0
500099,Rejected,High Risk,0,0.0
500100,Rejected,Policy Review,0,0.0
500101,Rejected,High Risk,0,0.0
500102,Rejected,High Risk,0,0.0
500103,Manual Review,High Risk,0,0.0
500104,Approved,Meets Policy,374000,18.06
500105,Approved,Meets Policy,1221000,9.53
500106,Rejected,High Risk,0,0.0
500107,Rejected,High Risk,0,0.0
500108,Rejected,Policy Review,0,0.0
500109,Rejected,Low Credit Score,0,0.0
500110,Rejected,High Risk,0,0.0
500111,Rejected,High Risk,0,0.0
500112,Rejected,Low Income,0,0.0
500113,Rejected,High Risk,0,0.0
500114,Approved,Meets Policy,1062000,10.35
500115,Rejected,High Risk,0,0.0
500116,Manual Review,High Risk,0,0.0
500117,Rejected,High Risk,0,0.0
500118,Approved,Meets Policy,2853000,15.78
500119,Rejected,High Risk,0,0.0
500120,Approved,Meets Policy,437000,18.1
500121,Approved,Meets Policy,887000,16.3
500122,Approved,Meets Policy,1177000,11.13
500123,Approved,Meets Policy,75000,14.96
500124,Rejected,Low Income,0,0.0
500125,Approved,Meets Policy,1553000,13.81
500126,Rejected,High Risk,0,0.0
500127,Rejected,Verification Failed,0,0.0
500128,Rejected,High Risk,0,0.0
500129,Rejected,Policy Review,0,0.0
500130,Rejected,Policy Review,0,0.0
500131,Rejected,Policy Review,0,0.0
500132,Rejected,Policy Review,0,0.0
500133,Approved,Meets Policy,2781000,8.59
500134,Approved,Meets Policy,1713000,9.63
500135,Rejected,High Risk,0,0.0
500136,Rejected,High Risk,0,0.0
500137,Rejected,High Risk,0,0.0
500138,Rejected,Low Credit Score,0,0.0
500139,Approved,Meets Policy,266000,11.67
500140,Rejected,Verification Failed,0,0.0
500141,Rejected,Verification Failed,0,0.0
500142,Rejected,Low Credit Score,0,0.0
500143,Rejected,High Risk,0,0.0
500144,Rejected,High Risk,0,0.0
500145,Rejected,Low Credit Score,0,0.0
500146,Approved,Meets Policy,206000,14.78
500147,Rejected,High Risk,0,0.0
500148,Manual Review,High Risk,0,0.0
500149,Rejected,Policy Review,0,0.0
500150,Rejected,High Risk,0,0.0
500151,Rejected,Verification Failed,0,0.0
500152,Rejected,High Risk,0,0.0
500153,Rejected,Policy Review,0,0.0
500154,Approved,Meets Policy,3427000,14.19
500155,Rejected,High Risk,0,0.0
500156,Rejected,High Risk,0,0.0
500157,Rejected,High Risk,0,0.0
500158,Rejected,High Risk,0,0.0
500159,Rejected,High Risk,0,0.0
500160,Rejected,Verification Failed,0,0.0
500161,Rejected,High Risk,0,0.0
500162,Rejected,Policy Review,0,0.0
500163,Rejected,Low Credit Score,0,0.0
500164,Rejected,High Risk,0,0.0
500165,Rejected,High Risk,0,0.0
500166,Rejected,High Risk,0,0.0
500167,Rejected,High Risk,0,0.0
500168,Rejected,High Risk,0,0.0
500169,Rejected,High Risk,0,0.0
500170,Rejected,High Risk,0,0.0
500171,Rejected,High Risk,0,0.0
500172,Rejected,High Risk,0,0.0
500173,Rejected,High Risk,0,0.0
500174,Approved,Meets Policy,272000,17.8
500175,Rejected,High Risk,0,0.0
500176,Rejected,High Risk,0,0.0
500177,Rejected,Low Credit Score,0,0.0
500178,Rejected,High Risk,0,0.0
500179,Approved,Meets Policy,85000,8.98
500180,Rejected,High Risk,0,0.0
500181,Rejected,Low Credit Score,0,0.0
500182,Rejected,High Risk,0,0.0
500183,Rejected,Low Credit Score,0,0.0
500184,Rejected,High Risk,0,0.0
500185,Approved,Meets Policy,356000,9.8
500186,Rejected,High Risk,0,0.0
500187,Rejected,High Risk,0,0.0
500188,Rejected,High Risk,0,0.0
500189,Rejected,Low Income,0,0.0
500190,Rejected,Verification Failed,0,0.0
500191,Rejected,High Risk,0,0.0
500192,Rejected,High Risk,0,0.0
500193,Rejected,Low Credit Score,0,0.0
500194,Manual Review,High Risk,0,0.0
500195,Rejected,Low Credit Score,0,0.0
500196,Rejected,High Risk,0,0.0
500197,Rejected,Policy Review,0,0.0
500198,Rejected,Verification Failed,0,0.0
500199,Rejected,Low Credit Score,0,0.0
500200,Rejected,High Risk,0,0.0
500201,Rejected,Low Credit Score,0,0.0
500202,Rejected,Policy Review,0,0.0
500203,Approved,Meets Policy,210000,8.66
500204,Rejected,Policy Review,0,0.0
500205,Approved,Meets Policy,99000,9.5
500206,Rejected,High Risk,0,0.0
500207,Manual Review,Verification Failed,0,0.0
500208,Rejected,High Risk,0,0.0
500209,Rejected,High Risk,0,0.0
500210,Rejected,High Risk,0,0.0
500211,Manual Review,High Risk,0,0.0
500212,Approved,Meets Policy,120000,12.51
500213,Rejected,High Risk,0,0.0
500214,Rejected,High Risk,0,0.0
500215,Rejected,High Risk,0,0.0
500216,Rejected,High Risk,0,0.0
500217,Approved,Meets Policy,2398000,11.28
500218,Manual Review,High Risk,0,0.0
500219,Approved,Meets Policy,619000,13.52
500220,Rejected,High Risk,0,0.0
500221,Rejected,Policy Review,0,0.0
500222,Rejected,High Risk,0,0.0
500223,Rejected,Policy Review,0,0.0
500224,Rejected,High Risk,0,0.0
500225,Rejected,Policy Review,0,0.0
500226,Rejected,High Risk,0,0.0
500227,Manual Review,High Risk,0,0.0
500228,Rejected,High Risk,0,0.0
500229,Approved,Meets Policy,498000,15.04
500230,Rejected,Low Income,0,0.0
500231,Rejected,High Risk,0,0.0
500232,Rejected,High Risk,0,0.0
500233,Rejected,High Risk,0,0.0
500234,Rejected,Verification Failed,0,0.0
500235,Rejected,Verification Failed,0,0.0
500236,Rejected,High Risk,0,0.0
500237,Rejected,High Risk,0,0.0
500238,Rejected,High Risk,0,0.0
500239,Manual Review,High Risk,0,0.0
500240,Rejected,Low Credit Score,0,0.0
500241,Approved,Meets Policy,208000,8.52
500242,Approved,Meets Policy,2064000,17.23
500243,Rejected,High Risk,0,0.0
500244,Rejected,Low Credit Score,0,0.0
500245,Rejected,Low Credit Score,0,0.0
500246,Manual Review,Policy Review,0,0.0
500247,Rejected,Low Credit Score,0,0.0
500248,Rejected,Verification Failed,0,0.0
500249,Rejected,Policy Review,0,0.0
500250,Approved,Meets Policy,778000,16.25
500251,Rejected,High Risk,0,0.0
500252,Rejected,High Risk,0,0.0
500253,Rejected,High Risk,0,0.0
500254,Rejected,Policy Review,0,0.0
500255,Approved,Meets Policy,783000,10.18
500256,Rejected,High Risk,0,0.0
500257,Approved,Meets Policy,4110000,17.92
500258,Rejected,High Risk,0,0.0
500259,Rejected,Policy Review,0,0.0
500260,Rejected,Low Income,0,0.0
500261,Rejected,High Risk,0,0.0
500262,Rejected,High Risk,0,0.0
500263,Manual Review,High Risk,0,0.0
500264,Manual Review,High Risk,0,0.0
500265,Rejected,High Risk,0,0.0
500266,Approved,Meets Policy,2592000,13.25
500267,Rejected,High Risk,0,0.0
500268,Rejected,High Risk,0,0.0
500269,Rejected,Verification Failed,0,0.0
500270,Rejected,Policy Review,0,0.0
500271,Rejected,Low Credit Score,0,0.0
500272,Rejected,High Risk,0,0.0
500273,Manual Review,High Risk,0,0.0
500274,Manual Review,High Risk,0,0.0
500275,Rejected,Low Income,0,0.0
500276,Manual Review,Low Credit Score,0,0.0
500277,Rejected,High Risk,0,0.0
500278,Approved,Meets Policy,1275000,13.48
500279,Rejected,Policy Review,0,0.0
500280,Rejected,High Risk,0,0.0
500281,Approved,Meets Policy,2810000,18.31
500282,Approved,Meets Policy,296000,14.91
500283,Rejected,High Risk,0,0.0
500284,Rejected,High Risk,0,0.0
500285,Rejected,High Risk,0,0.0
500286,Rejected,Policy Review,0,0.0
500287,Rejected,Policy Review,0,0.0
500288,Rejected,Low Income,0,0.0
500289,Rejected,Low Credit Score,0,0.0
500290,Approved,Meets Policy,346000,12.46
500291,Rejected,Low Credit Score,0,0.0
500292,Rejected,High Risk,0,0.0
500293,Rejected,Policy Review,0,0.0
500294,Rejected,High Risk,0,0.0
500295,Approved,Meets Policy,1005000,13.58
500296,Rejected,High Risk,0,0.0
500297,Rejected,High Risk,0,0.0
500298,Rejected,Low Income,0,0.0
500299,Rejected,High Risk,0,0.0
500300,Rejected,Policy Review,0,0.0
500301,Rejected,High Risk,0,0.0
500302,Rejected,Low Credit Score,0,0.0
500303,Rejected,High Risk,0,0.0
500304,Rejected,High Risk,0,0.0
500305,Rejected,Low Credit Score,0,0.0
500306,Rejected,High Risk,0,0.0
500307,Rejected,High Risk,0,0.0
500308,Rejected,Policy Review,0,0.0
500309,Approved,Meets Policy,4278000,14.04
500310,Rejected,High Risk,0,0.0
500311,Rejected,Policy Review,0,0.0
500312,Rejected,High Risk,0,0.0
500313,Rejected,Policy Review,0,0.0
500314,Rejected,Low Income,0,0.0
500315,Rejected,High Risk,0,0.0
500316,Approved,Meets Policy,160000,9.67
500317,Rejected,High Risk,0,0.0
500318,Rejected,Verification Failed,0,0.0
500319,Rejected,High Risk,0,0.0
