app_id,id,type,amount,tenure,channel
500001,126811,Education,622000,24,Partner
500002,136665,Personal,208000,48,Branch
500003,138463,Education,210000,48,Mobile App
500004,128628,Auto,1056000,12,Branch
500005,138210,Personal,532000,120,Website
500006,129066,Personal,340000,120,Website
500007,132139,Personal,534000,120,Mobile App
500008,113420,Personal,254000,48,Mobile App
500009,101407,Education,1198000,60,Mobile App
500010,111608,Home,589000,12,Branch
500011,130096,Home,1610000,36,Branch
500012,102928,Auto,1298000,48,Partner
500013,132695,Home,3642000,36,Partner
500014,109074,Business,1904000,24,Branch
500015,110739,Education,985000,84,Partner
500016,128159,Home,3632000,120,Website
500017,114569,Home,2195000,60,Branch
500018,131315,Auto,1202000,36,Branch
500019,124275,Auto,1258000,12,Branch
500020,116941,Business,908000,60,Mobile App
500021,110320,Education,393000,12,Mobile App
500022,134882,Personal,392000,36,Branch
500023,114432,Personal,289000,12,Mobile App
500024,116993,Personal,540000,48,Website
500025,126015,Business,1228000,60,Mobile App
500026,107936,Education,535000,120,Partner
500027,104783,Personal,189000,84,Branch
500028,106316,Personal,326000,24,Mobile App
500029,116266,Home,1839000,24,Branch
500030,136137,Business,1792000,12,Branch
500031,105472,Personal,315000,60,Branch
500032,137730,Personal,154000,24,Branch
500033,116566,Auto,560000,48,Website
500034,131588,Auto,1524000,120,Branch
500035,128727,Home,3958000,48,Branch
500036,101339,Home,4440000,48,Mobile App
500037,100338,Business,1619000,24,Website
500038,131686,Home,678000,84,Website
500039,119046,Personal,142000,24,Partner
500040,106117,Personal,354000,60,Website
500041,108519,Business,2914000,12,Website
500042,113250,Home,4383000,24,Website
500043,127053,Business,2683000,84,Website
500044,125231,Home,4749000,36,Mobile App
500045,116715,Personal,183000,60,Partner
500046,115810,Personal,184000,36,Website
500047,115888,Personal,218000,24,Partner
500048,137023,Personal,383000,36,Mobile App
500049,127552,Personal,305000,60,Mobile App
500050,116812,Personal,488000,24,Website
500051,129920,Auto,661000,12,Website
500052,120380,Business,589000,120,Branch
500053,125573,Home,4087000,36,Website
500054,135589,Auto,977000,120,Branch
500055,120174,Home,4106000,60,Branch
500056,139847,Personal,532000,84,Branch
500057,139423,Auto,1489000,84,Website
500058,117670,Personal,421000,84,Partner
500059,134828,Personal,86000,36,Mobile App
500060,130480,Business,286000,36,Website
500061,118280,Business,284000,84,Mobile App
500062,111337,Personal,302000,24,Branch
500063,127059,Personal,584000,48,Partner
500064,100767,Personal,456000,60,Branch
500065,116837,Personal,507000,36,Website
500066,109896,Business,1967000,36,Mobile App
500067,114387,Home,598000,36,Website
500068,116813,Home,4332000,120,Website
500069,122950,Business,1146000,12,Website
500070,127724,Home,3438000,24,Website
500071,136477,Auto,220000,24,Partner
500072,115178,Business,1925000,36,Website
500073,111259,Home,646000,48,Website
500074,121538,Home,2177000,36,Mobile App
500075,116317,Home,2969000,120,Partner
500076,129247,Auto,360000,120,Mobile App
500077,115750,Personal,559000,84,Website
500078,121807,Personal,533000,120,Website
500079,128486,Business,2149000,36,Website
500080,126175,Auto,479000,12,Branch
500081,126397,Education,501000,84,Mobile App
500082,128511,Auto,243000,36,Branch
500083,138335,Personal,53000,12,Partner
500084,130450,Personal,170000,12,Mobile App
500085,115562,Personal,591000,120,Mobile App
500086,122392,Home,453000,60,Branch
500087,102714,Business,346000,60,Website
500088,131188,Business,303000,48,Website
500089,117003,Personal,437000,12,Website
500090,136065,Personal,68000,84,Website
500091,111101,Personal,246000,120,Website
500092,109002,Personal,113000,12,Branch
500093,139921,Personal,95000,24,Website
500094,123571,Home,4921000,48,Mobile App
500095,135668,Business,1888000,84,Partner
500096,105799,Home,4152000,60,Branch
500097,138510,Personal,422000,48,Branch
500098,111895,Home,591000,24,Mobile App
500099,122688,Business,313000,24,Branch
500100,102888,Home,3312000,12,Website
500101,130033,Auto,360000,84,Website
500102,101798,Home,3275000,24,Partner
500103,117323,Home,1345000,24,Mobile App
500104,110619,Personal,417000,84,Branch
500105,107270,Auto,1299000,120,Branch
500106,136541,Education,980000,60,Website
500107,113240,Auto,1712000,120,Website
500108,122222,Auto,554000,120,Branch
500109,103518,Auto,560000,84,Mobile App
500110,113040,Business,2934000,24,Mobile App
500111,104722,Education,162000,36,Branch
500112,102889,Education,421000,84,Partner
500113,100145,Business,1612000,48,Website
500114,111298,Business,1247000,12,Branch
500115,121559,Auto,1402000,84,Website
500116,119127,Education,1138000,48,Branch
500117,109131,Home,810000,12,Partner
500118,131891,Home,3149000,24,Website
500119,107355,Personal,351000,36,Website
500120,113373,Personal,441000,24,Branch
500121,135251,Business,987000,24,Mobile App
500122,102399,Auto,1303000,12,Website
500123,124194,Personal,85000,12,Website
500124,111137,Auto,1156000,36,Website
500125,126486,Auto,1660000,48,Website
500126,105329,Auto,485000,84,Website
500127,126932,Personal,354000,60,Partner
500128,128613,Home,3126000,60,Branch
500129,124180,Personal,571000,36,Mobile App
500130,104117,Business,1084000,84,Branch
500131,125208,Home,2168000,60,Mobile App
500132,114978,Business,297000,36,Website
500133,116056,Home,3003000,12,Partner
500134,101575,Auto,1714000,24,Mobile App
500135,103617,Home,1497000,120,Branch
500136,104452,Home,4642000,48,Partner
500137,110645,Education,766000,84,Branch
500138,103348,Education,1132000,12,Website
500139,119754,Personal,291000,84,Branch
500140,127815,Home,973000,120,Mobile App
500141,100088,Auto,643000,120,Branch
500142,134173,Personal,210000,24,Website
500143,108689,Personal,431000,60,Mobile App
500144,102119,Home,4411000,48,Mobile App
500145,135324,Business,2236000,48,Mobile App
500146,105133,Education,225000,120,Website
500147,129231,Personal,426000,48,Website
500148,119700,Personal,492000,84,Mobile App
500149,123724,Personal,599000,120,Mobile App
500150,126919,Personal,479000,60,Website
500151,110439,Education,1241000,24,Partner
500152,137101,Personal,565000,60,Mobile App
500153,139506,Home,3912000,12,Partner
500154,114253,Home,3871000,48,Website
500155,107997,Home,2253000,24,Partner
500156,131065,Personal,265000,12,Website
500157,100565,Business,1248000,12,Mobile App
500158,121375,Business,1042000,60,Branch
500159,108179,Home,1819000,12,Partner
500160,134630,Business,1843000,12,Website
500161,110799,Home,1829000,12,Website
500162,133478,Home,2997000,36,Mobile App
500163,123947,Personal,434000,48,Partner
500164,108404,Personal,399000,120,Branch
500165,129521,Personal,464000,24,Mobile App
500166,116767,Home,2413000,60,Website
500167,104028,Home,4642000,12,Mobile App
500168,121306,Personal,419000,36,Mobile App
500169,111772,Personal,445000,12,Branch
500170,101847,Home,4516000,84,Branch
500171,130286,Business,1277000,36,Website
500172,113076,Business,1439000,24,Partner
500173,131372,Home,4638000,84,Branch
500174,113373,Home,301000,12,Website
500175,117763,Personal,57000,84,Website
500176,114057,Home,2098000,84,Branch
500177,119888,Home,4181000,120,Partner
500178,112699,Personal,590000,24,Website
500179,110619,Personal,87000,84,Website
500180,111531,Personal,152000,120,Mobile App
500181,137190,Education,555000,84,Branch
500182,129329,Business,1527000,12,Mobile App
500183,128549,Personal,262000,84,Website
500184,115272,Personal,269000,12,Branch
500185,118896,Personal,413000,120,Branch
500186,139039,Personal,355000,36,Branch
500187,107322,Business,1251000,120,Website
500188,114896,Personal,436000,120,Website
500189,111773,Business,912000,84,Website
500190,112961,Personal,62000,60,Branch
500191,121131,Education,1355000,48,Mobile App
500192,119994,Home,2906000,84,Branch
500193,123957,Personal,232000,84,Partner
500194,129467,Home,4404000,24,Website
500195,137348,Home,837000,12,Branch
500196,126854,Personal,489000,24,Branch
500197,131655,Personal,232000,60,Partner
500198,133171,Home,3413000,120,Website
500199,106737,Home,1570000,24,Branch
500200,130657,Business,2433000,84,Branch
500201,121074,Personal,183000,84,Mobile App
500202,100801,Personal,562000,24,Mobile App
500203,124901,Personal,242000,84,Branch
500204,139327,Education,207000,84,Mobile App
500205,108471,Personal,108000,60,Mobile App
500206,133972,Home,4427000,84,Branch
500207,121915,Education,1260000,120,Branch
500208,120930,Personal,292000,60,Mobile App
500209,139089,Home,4281000,24,Branch
500210,111921,Business,2679000,60,Branch
500211,108812,Personal,227000,48,Website
500212,100698,Personal,137000,48,Mobile App
500213,132897,Personal,385000,120,Branch
500214,125950,Business,781000,120,Website
500215,119632,Education,1375000,120,Website
500216,111921,Home,574000,24,Partner
