app_id,score,risk,band,eligible,dti,verify
500001,678,56.8,Medium,Eligible,25.7,Verified
500002,661,54.4,High,Not Eligible,21.2,Verified
500003,628,34.1,High,Not Eligible,23.7,Verified
500004,659,19.0,High,Not Eligible,45.7,Verified
500005,750,55.2,Medium,Eligible,47.8,Verified
500006,733,48.0,High,Not Eligible,47.7,Pending
500007,606,50.8,High,Not Eligible,54.0,Verified
500008,762,40.4,High,Not Eligible,8.8,Verified
500009,608,35.6,High,Not Eligible,31.6,Pending
500010,814,52.4,High,Not Eligible,61.0,Verified
500011,637,35.7,High,Not Eligible,53.9,Verified
500012,683,25.0,High,Not Eligible,28.0,Verified
500013,531,14.2,High,Not Eligible,39.5,Verified
500014,725,71.9,Medium,Eligible,25.1,Pending
500015,683,36.3,High,Not Eligible,51.5,Rejected
500016,566,29.4,High,Not Eligible,61.1,Rejected
500017,611,47.3,High,Not Eligible,12.2,Verified
500018,634,27.9,High,Not Eligible,38.7,Verified
500019,637,30.0,High,Not Eligible,28.9,Verified
500020,800,74.2,Medium,Eligible,44.1,Rejected
500021,666,56.3,Medium,Eligible,50.4,Verified
500022,836,38.5,High,Not Eligible,37.0,Rejected
500023,699,45.6,High,Not Eligible,33.0,Verified
500024,810,57.8,Medium,Eligible,54.2,Verified
500025,707,45.8,High,Not Eligible,48.5,Verified
500026,704,34.0,High,Not Eligible,23.0,Verified
500027,723,61.8,Medium,Eligible,8.8,Verified
500028,613,53.9,High,Not Eligible,44.6,Verified
500029,790,55.4,Medium,Eligible,56.4,Verified
500030,687,42.4,High,Not Eligible,44.1,Verified
500031,753,45.8,High,Not Eligible,15.8,Pending
500032,596,39.8,High,Not Eligible,13.9,Verified
500033,792,47.4,High,Not Eligible,8.4,Verified
500034,850,68.3,Medium,Eligible,55.1,Verified
500035,843,81.6,Low,Eligible,41.4,Verified
500036,807,55.3,Medium,Eligible,48.4,Verified
500037,778,61.6,Medium,Eligible,34.6,Verified
500038,722,56.7,Medium,Eligible,22.2,Verified
500039,675,44.3,High,Not Eligible,49.6,Verified
500040,734,58.1,Medium,Eligible,34.7,Verified
500041,751,38.6,High,Not Eligible,31.5,Pending
500042,767,51.7,High,Not Eligible,13.8,Verified
500043,657,53.0,High,Not Eligible,35.0,Rejected
500044,570,39.9,High,Not Eligible,58.5,Verified
500045,643,38.2,High,Not Eligible,39.5,Verified
500046,767,52.2,High,Not Eligible,18.4,Verified
500047,694,62.4,Medium,Eligible,51.8,Verified
500048,655,47.2,High,Not Eligible,18.3,Verified
500049,706,53.6,High,Not Eligible,17.6,Pending
500050,635,44.9,High,Not Eligible,24.1,Verified
500051,743,41.6,High,Not Eligible,49.2,Verified
500052,748,53.9,High,Not Eligible,28.3,Verified
500053,771,66.1,Medium,Eligible,42.5,Verified
500054,529,38.8,High,Not Eligible,11.0,Verified
500055,636,29.3,High,Not Eligible,47.5,Rejected
500056,705,37.8,High,Not Eligible,36.1,Verified
500057,692,25.1,High,Not Eligible,38.3,Verified
500058,704,49.9,High,Not Eligible,15.6,Verified
